;Массив случайных чисел 0..5;;;;;;;Массив случайных чисел 0..11000;;;;;;;Почти отсортированный массив;;;;;;;Массив {11000,10999..1};;;;;;;
;пузырек;пузырек с у. А. 1;пузырек с у. А. 1 + 2;простых вставок;бинарных вставок;подсчетом(устойчивая);цифровая;пузырек;пузырек с у. А. 1;пузырек с у. А. 1 + 2;простых вставок;бинарных вставок;подсчетом(устойчивая);цифровая;пузырек;пузырек с у. А. 1;пузырек с у. А. 1 + 2;простых вставок;бинарных вставок;подсчетом(устойчивая);цифровая;пузырек;пузырек с у. А. 1;пузырек с у. А. 1 + 2;простых вставок;бинарных вставок;подсчетом(устойчивая);цифровая
5000;82833;75937;71406;18481;95062;81;;69268;70334;76303;22050;96888;181;;43292;12132;1789;132;22881;117;;70888;68743;73256;43346;94749;227;;
6000;99783;98693;110340;27569;122993;130;;106249;107001;114463;31799;117082;191;;62712;16556;2091;269;25533;139;;99222;99086;104439;63207;114825;183;;
7000;142732;140780;150938;37026;138998;101;;150858;152081;161872;42251;137968;214;;84978;20610;1849;115;32511;166;;142768;140017;144153;85238;140900;197;;
8000;194240;191687;202919;46577;164902;118;;202712;201117;215422;54736;162542;224;;110792;23294;1921;104;28342;186;;178264;177144;184415;110489;162937;212;;
9000;253170;246260;261232;59056;186226;128;;261240;262085;275382;69670;189767;321;;139968;28397;2145;267;31755;209;;224786;225282;232848;140481;192622;224;;
10000;329438;321064;331095;73790;214183;156;;328885;326690;345346;85715;210882;257;;172443;25418;1651;135;33103;236;;276171;275654;290240;171765;215075;327;;
11000;392189;385531;407369;87968;239572;170;;406410;403179;445871;112056;246321;269;;209148;34891;1990;146;35129;275;;334707;334521;348823;210512;241549;254;;
603;241284377;147067821;215767420;225415;;
10000;319762037;309930305;326634669;72152636;216382342;146257;;331314471;321718247;344773851;85080571;218321575;252785;;171535790;27624941;1744608;105929;33809695;254367;;275614397;275666870;289559890;173332871;218036587;261338;;
11000;391574817;378203748;399355613;88080169;242506565;163149;;405795076;403884881;431234329;104618176;240291667;268907;;208041449;31997475;2243892;343191;34715891;259713;;336291406;335074178;348893641;210047952;243203211;256335;;
